branch,ncust,customer,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
3,3017,12104,20,3,0,0,22,4.2,0.54,0.39,1
3,3017,12110,42,1,15,7,60,6.1,2.01,1.65,0
3,3017,12133,33,2,12,5,70,5.7,0.83,3.16,0
3,3017,12149,41,2,10,7,29,4.2,0.47,0.74,0
3,3017,12157,35,3,0,7,36,4.7,0.55,1.15,0
3,3017,12239,46,3,20,16,122,6.7,2.89,5.28,0
3,3017,12382,24,4,0,1,27,4.2,0.44,0.69,0
3,3017,12439,34,3,7,8,43,30.3,3.92,9.11,1
3,3017,12540,36,2,7,4,41,18.9,3.18,4.57,0
3,3017,12596,19,1,0,0,18,15.1,0.79,1.92,1
3,3017,12638,29,5,1,4,51,1.3,0.28,0.38,0
3,3017,12687,44,2,7,9,59,8.4,1.77,3.19,0
3,3017,12710,19,2,0,0,28,11.7,0.82,2.45,0
3,3017,12729,39,1,2,9,29,3.7,0.48,0.6,0
3,3017,12759,30,4,5,5,222,2.9,1.97,4.47,0
3,3017,12779,72,2,44,13,187,9.2,4.71,12.49,0
3,3017,12841,18,2,0,0,30,7,0.81,1.29,1
3,3017,12910,28,3,7,5,30,8.5,0.46,2.09,0
3,3017,12946,24,1,5,2,27,10,1.29,1.41,0
3,3017,13005,33,2,8,4,45,12.1,0.11,5.34,0
3,3017,13013,34,4,11,4,132,4.7,1.51,4.69,0
13,3080,60060,46,4,7,16,41,2.5,0.35,0.67,0
13,3080,60063,36,2,16,4,96,12.2,5.42,6.29,0
13,3080,60070,45,1,13,7,65,28.6,10.73,7.86,1
13,3080,60087,59,1,34,26,154,8.5,8.33,4.76,0
13,3080,60090,35,2,9,1,80,12.9,4.28,6.04,1
13,3080,60112,62,4,31,22,387,15,5.4,52.65,0
13,3080,60199,29,4,1,4,38,4.5,0.82,0.89,1
13,3080,60220,56,3,30,14,167,1.4,0.46,1.88,0
13,3080,60229,24,2,4,1,39,21.5,3.97,4.42,1
13,3080,60237,32,3,1,6,45,13.9,1.51,4.74,1
13,3080,60256,25,2,6,2,29,5.9,0.64,1.07,0
13,3080,60309,37,1,9,6,33,1.2,0.11,0.28,0
13,3080,60324,27,3,1,2,28,23.5,0.82,5.76,0
13,3080,60346,56,2,37,10,160,11.4,6.77,11.47,0
13,3080,60410,31,2,11,6,61,34.4,9.48,11.5,1
13,3080,60435,59,1,31,15,86,6.8,1.61,4.23,0
13,3080,60494,65,3,26,16,186,4.2,2.98,4.83,0
13,3080,60497,26,1,0,3,29,16.9,3.09,1.81,1
13,3080,60499,27,3,3,4,68,24.9,5.23,11.7,1
13,3080,60515,30,1,6,3,22,15.5,0.13,3.28,1
13,3080,60625,43,1,22,13,96,1.2,0.34,0.81,0
13,3080,60634,30,4,4,5,64,14.1,2.83,6.19,0
13,3080,60657,18,2,0,0,19,14,0.56,2.1,1
13,3080,60686,24,3,1,1,33,14,0.06,4.56,0
13,3080,60777,31,4,0,6,28,4.5,0.07,1.19,0
13,3080,60925,25,1,4,3,31,3.1,0.37,0.59,0
13,3080,60937,24,4,0,2,48,1.2,0.06,0.51,1
13,3080,60942,26,3,2,3,37,3.1,0.35,0.8,0
13,3080,60944,33,2,13,5,54,16.2,2.88,5.87,1
13,3080,60947,44,4,18,9,136,4.2,1.42,4.3,0
13,3080,60949,18,2,0,0,16,6,0.4,0.56,0
13,3080,60980,29,3,1,2,34,15.5,0.39,4.88,1
13,3080,61081,21,3,0,1,27,16.5,1.16,3.3,0
13,3080,61231,41,2,22,13,54,4.1,0.82,1.39,0
13,3080,61255,40,4,11,8,238,7.9,6.34,12.47,0
13,3080,61272,37,1,5,10,21,14.5,0.71,2.33,0
13,3080,61437,24,1,6,3,36,13.2,1.92,2.83,0
13,3080,61475,24,4,0,4,18,2.9,0.18,0.34,0
13,3080,61481,18,2,0,0,25,2.9,0.56,0.16,0
13,3080,61510,30,4,5,6,95,7,3.46,3.19,0
13,3080,61513,36,1,4,8,45,13.2,0.33,5.61,0
13,3080,61536,34,1,14,9,39,11.4,2.71,1.73,0
13,3080,61605,63,3,8,25,92,5.6,0.89,4.27,0
13,3080,61632,56,5,16,19,232,2.8,2.1,4.39,0
13,3080,61637,41,2,9,8,68,28.3,4.52,14.72,1
13,3080,61638,23,4,0,1,53,3,0.63,0.96,1
13,3080,61685,25,5,0,3,32,14.6,1.45,3.22,1
13,3080,61722,22,1,1,1,22,3.2,0.16,0.55,0
13,3080,61760,58,2,19,9,114,6.4,0.28,7.02,0
13,3080,61791,31,3,7,5,53,2.7,0.73,0.7,0
13,3080,61800,47,2,6,10,40,8.7,1.31,2.17,1
13,3080,61802,55,2,13,11,63,17.5,2.56,8.47,0
13,3080,61844,39,2,9,5,60,9.2,2.08,3.44,0
13,3080,61875,27,5,0,4,30,4.3,0.42,0.87,0
13,3080,61881,30,3,7,4,60,21.6,5.57,7.39,1
13,3080,61920,35,2,6,5,32,7.6,0.82,1.61,0
13,3080,61946,30,4,4,7,30,9.2,0.89,1.87,0
13,3080,61952,19,2,0,0,23,8.8,1.11,0.92,0
13,3080,61972,38,4,14,4,98,16.5,1.34,14.83,0
13,3080,61980,20,2,1,0,19,8,0.78,0.74,0
13,3080,62038,43,2,14,8,61,10.8,2.17,4.41,0
13,3080,62060,25,2,2,3,25,9.9,1.4,1.08,0
13,3080,62074,41,1,11,5,36,10.2,1.37,2.31,1
13,3080,62109,37,3,3,4,36,6.7,0.68,1.73,0
13,3080,62155,22,1,0,2,17,3.7,0.14,0.49,1
13,3080,62168,23,2,0,3,27,17.6,2.13,2.62,1
13,3080,62184,45,4,1,8,60,9.9,1.14,4.8,1
13,3080,62219,19,1,1,0,20,8.8,0.55,1.21,0
13,3080,62223,26,2,6,3,23,13.6,0.13,3,0
13,3080,62229,25,4,0,2,21,22.3,1.68,3.01,1
13,3080,62238,49,4,1,8,51,11.2,1.86,3.85,0
13,3080,62301,76,1,15,20,26,5.6,0.14,1.32,0
13,3080,62380,28,3,1,3,16,5.2,0.5,0.33,0
13,3080,62399,37,1,18,8,36,4.8,0.44,1.29,0
13,3080,62406,41,1,9,8,29,5.6,0.25,1.38,0
13,3080,62428,30,2,8,4,68,2.4,0.27,1.36,0
13,3080,62534,39,3,4,9,78,14,7.21,3.71,1
13,3080,62545,25,3,2,2,19,3.4,0.19,0.46,0
13,3080,62573,26,5,0,4,19,7.7,0.67,0.79,0
13,3080,62602,24,1,8,2,28,6.6,0.26,1.59,0
13,3080,62610,61,1,0,10,42,18.4,4.01,3.72,0
13,3080,62637,26,2,6,2,38,10.6,2.57,1.46,0
13,3080,62645,18,2,0,0,44,9.2,1.25,2.8,0
13,3080,62691,41,2,21,8,189,6.3,6.22,5.69,0
13,3080,62693,49,3,9,16,64,6.1,0.33,3.57,0
13,3080,62744,18,1,0,0,20,3.9,0.37,0.41,0
13,3080,62750,18,2,0,0,24,6.5,0.3,1.26,0
13,3080,62792,52,4,2,12,96,7.1,2.28,4.54,1
13,3080,62812,32,2,2,6,30,9.4,1.18,1.64,0
13,3080,62835,27,2,6,5,42,9.1,2.19,1.64,1
13,3080,62837,23,3,0,2,57,17.8,2.73,7.42,1
13,3080,62863,29,4,3,3,46,8.1,0.29,3.44,0
13,3080,62867,73,2,53,25,410,4.1,3.11,13.7,0
13,3080,62923,31,4,3,5,22,4.6,0.23,0.79,0
13,3080,62975,19,2,0,0,28,9.1,0.87,1.68,1
13,3080,63023,57,2,4,9,39,4.3,0.56,1.12,0
13,3080,63041,18,2,0,0,19,1.5,0.06,0.22,0
13,3080,63054,22,1,1,1,19,8.9,0.49,1.2,0
13,3080,63055,21,2,0,1,30,4.3,0.18,1.11,0
13,3080,63071,33,3,4,4,60,9.5,1.61,4.09,0
15,4809,70016,21,3,0,1,41,23.4,1.97,7.63,1
15,4809,70065,42,3,18,15,63,11.3,2.54,4.58,0
15,4809,70093,32,3,10,5,38,11.5,1.05,3.32,0
15,4809,70178,33,4,5,4,105,13.4,7.05,7.02,1
15,4809,70186,73,1,50,34,289,8.4,7.84,16.43,0
15,4809,70221,61,4,23,20,81,8.9,1.7,5.51,0
15,4809,70248,38,5,2,8,229,6.7,3.94,11.4,0
15,4809,70269,46,3,13,11,45,22.2,3.33,6.66,1
15,4809,70325,20,3,0,0,20,7.2,0.34,1.1,1
15,4809,70403,19,2,0,0,24,15.6,0.75,3,1
15,4809,70412,28,4,0,4,47,18.6,6.71,2.04,1
15,4809,70430,24,4,0,2,21,6.6,0.58,0.81,1
15,4809,70522,53,1,1,12,30,8.8,0.41,2.23,0
15,4809,70525,35,2,14,7,62,8.2,0.6,4.48,0
15,4809,70548,43,2,7,11,53,3.7,0.85,1.11,0
15,4809,70553,32,1,9,6,33,8.1,1.15,1.52,0
15,4809,70558,27,1,9,1,28,5.7,0.11,1.49,0
15,4809,70567,18,2,0,0,22,1.5,0.13,0.2,0
15,4809,70673,19,2,0,0,31,28.7,5.36,3.53,1
15,4809,70687,18,2,0,0,36,6.2,1.05,1.18,1
15,4809,70710,54,2,20,15,82,20,4.35,12.05,0
15,4809,70770,43,3,0,4,31,2.4,0.28,0.46,0
15,4809,70849,50,2,15,14,65,12.6,3.05,5.14,0
15,4809,70886,26,1,10,3,31,8.8,0.78,1.95,0
15,4809,70888,35,2,4,2,57,6,1.29,2.13,0
15,4809,70907,47,2,6,12,34,4.4,0.53,0.97,0
15,4809,70938,31,5,2,5,19,15.9,0.94,2.08,0
15,4809,71122,40,3,7,11,53,12.4,1.48,5.09,0
15,4809,71175,56,4,14,25,206,27.9,15.29,42.19,1
15,4809,71264,34,4,3,8,72,7.6,0.38,5.09,0
15,4809,71270,18,2,0,0,18,12.7,0.65,1.64,1
15,4809,71417,46,2,24,10,78,6.9,2.74,2.64,0
15,4809,71424,31,2,2,6,45,3.1,0.43,0.96,0
15,4809,71431,25,2,1,1,16,2.1,0.15,0.19,0
15,4809,71439,79,1,63,18,497,8.2,15.08,25.68,0
15,4809,71522,43,3,21,14,125,11.5,6.33,8.05,0
15,4809,71585,26,1,9,3,41,22.1,0.62,8.44,0
15,4809,71630,26,3,1,4,36,12.5,1.59,2.91,0
15,4809,71699,18,1,0,0,28,17,1.75,3.01,1
15,4809,71730,30,2,0,4,25,7.4,0.26,1.59,0
15,4809,71732,47,3,3,8,69,5.2,0.9,2.69,0
15,4809,71758,18,2,0,0,35,12.4,1.13,3.21,0
15,4809,71761,30,1,13,3,38,4.6,0.34,1.41,0
15,4809,71782,21,3,0,1,25,6.7,1.29,0.38,1
15,4809,71784,33,4,4,9,119,15.3,6.57,11.63,1
15,4809,71812,36,2,3,6,28,4.9,0.26,1.12,0
15,4809,71817,26,2,7,3,49,17.7,5.38,3.3,1
15,4809,71896,20,3,0,0,21,1.3,0.18,0.09,1
15,4809,72021,56,2,19,8,76,1.2,0.18,0.73,0
15,4809,72023,42,4,7,12,130,11.6,3.33,11.75,1
15,4809,72147,23,4,0,3,47,8.9,0.62,3.56,0
15,4809,72213,32,3,3,8,86,7.9,2.2,4.59,0
15,4809,72221,20,3,0,0,30,10.6,2.53,0.65,1
15,4809,72302,19,2,0,0,21,12,0.35,2.17,0
15,4809,72307,26,2,1,0,26,11.1,1.69,1.19,1
15,4809,72327,19,2,0,0,20,0.1,0.01,0.01,1
15,4809,72385,59,3,31,21,102,0.3,0.1,0.2,0
15,4809,72447,21,3,0,1,13,8.3,0.45,0.63,1
15,4809,72506,39,4,14,6,152,27.4,13.41,28.24,1
15,4809,72584,18,2,0,0,12,3.3,0.11,0.29,1
15,4809,72633,20,2,0,0,38,7.5,0.36,2.49,0
15,4809,72635,33,4,1,6,23,4.2,0.19,0.77,1
15,4809,72704,19,1,1,0,16,3.4,0.31,0.24,1
15,4809,72756,29,3,5,5,52,16.8,5.63,3.1,0
15,4809,72803,70,3,48,25,165,14.8,0.56,23.86,0
15,4809,72806,44,1,22,8,93,9,4.38,3.99,0
15,4809,72846,40,2,20,10,117,11.9,4.94,8.98,0
15,4809,72860,21,2,1,1,23,7.4,0.26,1.44,1
15,4809,72954,43,2,8,11,48,9.7,1.32,3.34,0
15,4809,73016,27,2,3,4,28,4.2,0.54,0.64,0
15,4809,73083,21,3,0,1,21,10.4,1.54,0.65,0
15,4809,73188,29,2,3,5,45,14.1,1.68,4.66,1
15,4809,73525,41,2,2,10,40,7.9,0.31,2.85,0
15,4809,73537,28,4,5,3,30,7,0.46,1.64,0
15,4809,73591,48,2,5,10,43,6.9,2.26,0.7,1
15,4809,73650,25,5,0,3,66,2.8,0.9,0.94,0
15,4809,73703,41,2,3,7,62,7,2.89,1.45,1
15,4809,73741,22,2,1,2,24,16.1,0.8,3.07,0
15,4809,73764,47,3,8,11,43,11.8,2.27,2.8,0
15,4809,73864,18,2,0,0,24,5.3,0.59,0.68,0
15,4809,73907,28,5,0,4,50,8.6,0.28,4.02,0
15,4809,73999,41,2,5,8,37,5.8,0.35,1.8,0
15,4809,74006,31,2,2,7,42,10.3,0.86,3.47,1
15,4809,74096,19,2,0,0,21,14.3,1.22,1.78,0
15,4809,74136,31,3,1,7,28,2,0.17,0.39,0
15,4809,74169,18,2,0,0,21,21.8,1.44,3.14,1
15,4809,74209,39,2,5,5,39,4.2,0.72,0.92,0
15,4809,74221,20,2,0,0,17,7.3,0.57,0.67,1
15,4809,74272,31,4,8,4,29,6.8,1.12,0.85,0
15,4809,74287,23,1,3,1,41,5.5,0.67,1.58,0
15,4809,74372,25,3,3,3,58,20.6,3.5,8.45,0
15,4809,74378,29,4,3,1,47,2.9,0.53,0.83,0
15,4809,74394,38,3,15,4,136,20.2,6.76,20.71,1
15,4809,74471,39,1,8,9,41,0.1,0.03,0.01,0
15,4809,74498,28,4,4,4,20,15.5,0.3,2.8,1
15,4809,74528,40,3,10,12,38,6.1,0.92,1.4,0
15,4809,74547,46,3,2,13,56,2.3,0.41,0.87,0
15,4809,74589,61,1,45,22,209,10.9,4.12,18.66,0
15,4809,74658,49,4,18,13,182,4.8,0.94,7.79,0
15,4809,74677,71,2,35,19,131,11.6,6.03,9.16,0
20,4650,95009,20,1,2,0,20,2.7,0.2,0.34,1
20,4650,95034,20,3,0,0,20,11.3,1.96,0.3,1
20,4650,95050,18,2,0,0,29,5.6,0.9,0.73,0
20,4650,95066,32,5,3,6,59,9,1.85,3.46,0
20,4650,95138,42,3,2,13,22,13.6,1.46,1.53,1
20,4650,95177,43,3,9,9,57,4.5,1.81,0.76,0
20,4650,95185,27,1,7,5,43,10,1.2,3.1,0
20,4650,95204,23,2,3,2,66,2.7,0.79,0.99,0
20,4650,95209,21,2,1,0,33,13.1,1.31,3.01,1
20,4650,95220,49,3,24,11,90,13.9,8.06,4.45,0
20,4650,95299,49,2,28,11,93,12.8,1.56,10.34,0
20,4650,95372,19,2,0,0,28,9.7,1.35,1.37,1
20,4650,95384,24,4,0,2,21,11,0.72,1.59,1
20,4650,95388,23,4,0,1,30,12.8,2.3,1.54,1
20,4650,95450,43,3,13,9,82,9.9,1.78,6.34,0
20,4650,95481,28,2,8,3,22,5.4,0.17,1.02,0
20,4650,95530,26,4,2,3,36,14.4,1.89,3.29,1
20,4650,95541,40,4,7,11,33,12.4,0.65,3.45,0
20,4650,95582,47,1,22,17,108,8.9,1.37,8.24,0
20,4650,95633,19,2,0,0,22,16.8,1.64,2.06,1
20,4650,95641,71,1,18,27,57,11.5,2.58,3.97,0
20,4650,95723,72,4,26,24,146,12.6,2.12,16.28,0
20,4650,95739,45,2,1,10,43,2.8,0.38,0.82,0
20,4650,95833,20,3,0,0,29,17,1.93,3,1
20,4650,95858,42,2,7,8,47,7.8,1.02,2.65,0
20,4650,95859,33,4,1,3,40,13.3,0.87,4.45,0
20,4650,95998,42,2,19,8,63,20.4,5.31,7.54,0
20,4650,96001,20,3,0,0,28,10.4,0.93,1.98,1
20,4650,96007,20,3,0,1,19,4.5,0.35,0.51,0
20,4650,96037,20,3,0,0,20,13.5,0.59,2.11,0
20,4650,96088,34,3,11,5,68,11.9,3.37,4.73,0
20,4650,96098,39,1,12,11,47,9.5,1.03,3.43,0
20,4650,96116,42,1,2,10,38,3.6,0.39,0.98,1
20,4650,96167,61,1,7,22,35,10.4,0.7,2.94,0
20,4650,96197,30,4,2,6,61,2.9,0.64,1.13,1
20,4650,96228,39,4,12,9,82,6.2,1.79,3.29,0
20,4650,96253,26,3,5,2,25,10.8,1.13,1.57,0
20,4650,96263,62,3,12,10,108,7.3,1.38,6.5,0
20,4650,96479,48,2,17,8,81,30,11.64,12.66,1
20,4650,96521,39,3,17,9,165,3.3,2.55,2.89,0
20,4650,96536,51,1,33,13,234,9.6,4.25,18.22,0
20,4650,96611,31,3,4,6,43,6.9,0.66,2.31,0
20,4650,96627,45,3,19,7,286,5,4.53,9.77,0
20,4650,96714,44,4,0,9,167,10.6,7.79,9.91,1
20,4650,96732,28,2,9,3,36,3.2,0.09,1.06,0
20,4650,96945,36,3,8,4,41,11.1,1.57,2.98,1
20,4650,96961,38,5,4,5,66,10.7,2.4,4.66,1
20,4650,97000,61,2,22,6,108,22.2,6.04,17.93,0
20,4650,97003,66,3,6,20,61,7.7,1.2,3.49,1
20,4650,97045,24,2,5,3,31,10.4,0.7,2.52,0
20,4650,97048,45,1,12,10,44,9.8,1.6,2.72,0
20,4650,97147,47,5,8,13,33,15.4,1.71,3.37,0
20,4650,97173,19,2,0,0,25,3.9,0.68,0.29,1
20,4650,97191,28,2,2,5,26,23.6,0.74,5.4,1
20,4650,97247,40,4,3,10,35,10,1.09,2.42,1
20,4650,97289,25,4,1,1,27,14.2,0.46,3.38,0
20,4650,97350,64,1,26,26,56,20.3,2.01,9.36,0
20,4650,97355,40,3,15,4,78,15.5,3.52,8.57,0
20,4650,97357,37,5,1,10,90,1.8,0.25,1.37,0
20,4650,97402,56,2,35,14,236,3.9,6.68,2.52,0
20,4650,97548,33,3,8,4,102,28.8,7.93,21.44,1
20,4650,97595,66,3,30,22,104,6.7,2.29,4.68,0
20,4650,97629,18,2,0,0,28,9.9,1.05,1.72,0
20,4650,97815,52,3,28,23,108,3.9,2.21,2,0
20,4650,97845,46,1,2,10,38,8.2,0.5,2.62,1
20,4650,97911,51,2,3,14,19,4.9,0.34,0.59,0
20,4650,97992,34,2,6,4,45,9.1,1.31,2.78,0
20,4650,98023,19,2,0,0,18,6.3,0.26,0.87,0
20,4650,98041,52,1,33,12,80,9,1.06,6.14,0
20,4650,98114,24,1,2,2,29,23.6,0.47,6.38,0
20,4650,98144,35,4,5,4,47,16.1,3.18,4.39,1
20,4650,98195,29,4,1,4,50,15.1,2.67,4.88,1
20,4650,98277,47,2,10,10,48,7,1.98,1.38,0
20,4650,98410,26,3,4,4,50,0.8,0.13,0.27,0
20,4650,98611,27,4,2,3,34,11.4,2.16,1.72,0
20,4650,98648,19,2,0,0,36,6.7,0.89,1.52,0
20,4650,98678,51,2,28,20,134,4.1,1.75,3.74,0
20,4650,98849,46,1,13,12,94,15.7,8.31,6.45,1
20,4650,98854,23,3,1,1,30,13.6,2.04,2.04,1
20,4650,98855,19,2,0,0,20,5.6,0.16,0.96,1
20,4650,98961,23,2,3,1,27,17.8,0.93,3.88,1
20,4650,98972,30,4,1,6,16,8.5,1.08,0.28,1
20,4650,98987,21,3,0,0,35,6.8,0.91,1.47,1
20,4650,99058,20,3,0,0,35,5.8,0.76,1.27,0
20,4650,99139,23,4,0,2,36,1.1,0.1,0.29,0
20,4650,99161,46,3,2,14,27,12.1,0.55,2.72,0
20,4650,99306,43,2,20,8,180,7.3,4.2,8.94,0
20,4650,99337,27,2,5,3,28,5.2,0.5,0.96,0
20,4650,99363,45,1,3,13,38,22.1,2.59,5.8,1
20,4650,99378,22,3,1,2,27,9.8,0.25,2.4,0
20,4650,99388,41,2,13,7,50,14.2,3.72,3.38,1
20,4650,99395,52,1,8,6,43,17.5,3.44,4.09,0
20,4650,99428,53,2,34,18,251,15.9,12.37,27.54,0
20,4650,99436,20,3,0,0,45,7.7,1.14,2.32,1
20,4650,99449,30,5,2,8,99,1.5,0.8,0.69,0
20,4650,99476,68,2,0,17,22,12.5,1.05,1.7,0
20,4650,99524,31,4,0,7,41,3.8,1.11,0.44,0
20,4650,99592,54,2,2,21,32,6.7,0.17,1.97,0
20,4650,99593,26,3,2,3,38,7.6,1.39,1.49,1
20,4650,99634,32,2,12,6,61,8.2,0.3,4.71,0
25,3491,120070,27,2,4,2,34,15.1,0.84,4.3,0
25,3491,120073,60,3,22,10,60,22.3,3.25,10.13,0
25,3491,120117,47,2,13,19,58,3.5,0.62,1.41,0
25,3491,120155,47,2,6,11,75,15.2,2.93,8.47,0
25,3491,120174,69,4,7,20,75,13.5,1.03,9.09,1
25,3491,120175,45,2,7,8,32,5.4,0.13,1.6,0
25,3491,120194,29,3,2,5,31,6.8,1.41,0.7,0
25,3491,120199,29,3,4,5,67,7.9,0.93,4.36,0
25,3491,120278,27,1,5,2,33,5.1,0.58,1.1,0
25,3491,120285,44,1,9,3,37,18.4,2.92,3.89,0
25,3491,120304,21,3,0,1,55,17.1,6.9,2.5,1
25,3491,120306,26,3,4,4,28,15,2.38,1.82,0
25,3491,120397,56,3,26,13,384,11.2,23.31,19.7,1
25,3491,120428,38,4,4,8,91,3.9,1.02,2.53,1
25,3491,120482,42,4,17,8,54,10.3,0.29,5.27,0
25,3491,120611,43,3,13,11,59,11,1.72,4.77,1
25,3491,120614,37,2,17,6,123,10.6,3.89,9.15,0
25,3491,120633,64,3,15,22,227,29.9,35.97,31.9,1
25,3491,120651,39,2,0,10,38,7.5,0.2,2.65,0
25,3491,120658,21,2,1,0,20,20.3,0.41,3.65,0
25,3491,120708,30,4,5,3,62,2.6,0.7,0.91,0
25,3491,120724,52,2,9,12,72,15.4,4.08,7.01,0
25,3491,120769,40,4,5,9,62,8,1.49,3.47,1
25,3491,120806,23,2,3,2,25,2.5,0.17,0.45,0
25,3491,120822,40,2,2,7,32,3.4,0.18,0.91,0
25,3491,120942,19,2,0,0,37,3,0.21,0.9,0
25,3491,120999,22,4,0,0,36,3.3,0.28,0.91,0
25,3491,121027,50,1,20,11,67,18.4,7.24,5.09,1
25,3491,121055,36,5,7,12,67,8.2,3.1,2.4,0
25,3491,121097,47,3,14,16,36,0.9,0.08,0.24,0
25,3491,121113,19,2,0,0,50,1.8,0.49,0.41,0
25,3491,121151,32,3,10,7,70,3.2,0.85,1.39,1
25,3491,121201,20,3,0,0,32,8.5,1.11,1.61,0
25,3491,121202,20,2,0,0,26,4,0.39,0.65,1
25,3491,121206,22,4,0,2,31,7.6,0.2,2.16,0
25,3491,121261,23,4,0,2,45,10.7,0.61,4.2,1
25,3491,121266,62,2,4,5,38,11.3,0.94,3.35,0
